leagueid,leaguename,leaguecountry,leaguelogo,leagueflag,leagueseason,teamid,teamname,teamlogo,form,fixturesplayedhome,fixturesplayedaway,fixturesplayedtotal,fixtureswinshome,fixtureswinsaway,fixtureswinstotal,fixturesdrawshome,fixturesdrawsaway,fixturesdrawstotal,fixturesloseshome,fixtureslosesaway,fixtureslosestotal,goalsfortotalhome,goalsfortotalaway,goalsfortotaltotal,goalsforaveragehome,goalsforaverageaway,goalsforaveragetotal,goalsforminute015total,goalsforminute015percentage,goalsforminute1630total,goalsforminute1630percentage,goalsforminute3145total,goalsforminute3145percentage,goalsforminute4660total,goalsforminute4660percentage,goalsforminute6175total,goalsforminute6175percentage,goalsforminute7690total,goalsforminute7690percentage,goalsforminute91105total,goalsforminute91105percentage,goalsforminute106120total,goalsforminute106120percentage,goalsagainsttotalhome,goalsagainsttotalaway,goalsagainsttotaltotal,goalsagainstaveragehome,goalsagainstaverageaway,goalsagainstaveragetotal,goalsagainstminute015total,goalsagainstminute015percentage,goalsagainstminute1630total,goalsagainstminute1630percentage,goalsagainstminute3145total,goalsagainstminute3145percentage,goalsagainstminute4660total,goalsagainstminute4660percentage,goalsagainstminute6175total,goalsagainstminute6175percentage,goalsagainstminute7690total,goalsagainstminute7690percentage,goalsagainstminute91105total,goalsagainstminute91105percentage,goalsagainstminute106120total,goalsagainstminute106120percentage,biggeststreakwins,biggeststreakdraws,biggeststreakloses,biggestwinshome,biggestwinsaway,biggestloseshome,biggestlosesaway,biggestgoalsforhome,biggestgoalsforaway,biggestgoalsagainsthome,biggestgoalsagainstaway,clean_sheethome,clean_sheetaway,clean_sheettotal,failed_to_scorehome,failed_to_scoreaway,failed_to_scoretotal,penaltyscoredtotal,penaltyscoredpercentage,penaltymissedtotal,penaltymissedpercentage,penaltytotal,cardsyellow015total,cardsyellow015percentage,cardsyellow1630total,cardsyellow1630percentage,cardsyellow3145total,cardsyellow3145percentage,cardsyellow4660total,cardsyellow4660percentage,cardsyellow6175total,cardsyellow6175percentage,cardsyellow7690total,cardsyellow7690percentage,cardsyellow91105total,cardsyellow91105percentage,cardsyellow106120total,cardsyellow106120percentage,cardsred015total,cardsred015percentage,cardsred1630total,cardsred1630percentage,cardsred3145total,cardsred3145percentage,cardsred4660total,cardsred4660percentage,cardsred6175total,cardsred6175percentage,cardsred7690total,cardsred7690percentage,cardsred91105total,cardsred91105percentage,cardsred106120total,cardsred106120percentage,lineups0formation,lineups0played,lineups1formation,lineups1played,lineups2formation,lineups2played,lineups3formation,lineups3played
1,"World Cup",World,https://media.api-sports.io/football/leagues/1.png,NULL,2010,3,Croatia,https://media.api-sports.io/football/teams/3.png,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,"World Cup",World,https://media.api-sports.io/football/leagues/1.png,NULL,2010,2,France,https://media.api-sports.io/football/teams/2.png,DLL,2,1,3,0,0,0,0,1,1,2,0,2,1,0,1,0.5,0.0,0.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100.00%,NULL,NULL,NULL,NULL,NULL,NULL,4,0,4,2.0,0.0,1.3,NULL,NULL,1,25.00%,1,25.00%,NULL,NULL,1,25.00%,1,25.00%,NULL,NULL,NULL,NULL,0,1,0,NULL,NULL,0-2,NULL,1,0,2,0,0,1,1,1,1,2,0,0%,0,0%,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,"World Cup",World,https://media.api-sports.io/football/leagues/1.png,NULL,2010,1,Belgium,https://media.api-sports.io/football/teams/1.png,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,"World Cup",World,https://media.api-sports.io/football/leagues/1.png,NULL,2010,18,Iceland,https://media.api-sports.io/football/teams/18.png,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,"World Cup",World,https://media.api-sports.io/football/leagues/1.png,NULL,2010,20,Australia,https://media.api-sports.io/football/teams/20.png,LDW,1,2,3,1,0,1,0,1,1,0,1,1,2,1,3,2.0,0.5,1.0,1,33.33%,NULL,NULL,NULL,NULL,NULL,NULL,2,66.67%,NULL,NULL,NULL,NULL,NULL,NULL,1,5,6,1.0,2.5,2.0,1,16.67%,2,33.33%,NULL,NULL,NULL,NULL,2,33.33%,1,16.67%,NULL,NULL,NULL,NULL,0,1,1,2-1,NULL,NULL,4-0,2,1,1,4,0,0,0,0,1,1,0,0%,0,0%,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,"World Cup",World,https://media.api-sports.io/football/leagues/1.png,NULL,2010,24,Poland,https://media.api-sports.io/football/teams/24.png,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,"World Cup",World,https://media.api-sports.io/football/leagues/1.png,NULL,2010,5,Sweden,https://media.api-sports.io/football/teams/5.png,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,"World Cup",World,https://media.api-sports.io/football/leagues/1.png,NULL,2010,14,Serbia,https://media.api-sports.io/football/teams/14.png,LWL,1,2,3,0,1,1,0,0,0,1,1,2,0,2,2,0.0,1.0,0.7,NULL,NULL,NULL,NULL,1,50.00%,NULL,NULL,NULL,NULL,1,50.00%,NULL,NULL,NULL,NULL,1,2,3,1.0,1.0,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,66.67%,1,33.33%,NULL,NULL,NULL,NULL,1,0,1,NULL,0-1,0-1,2-1,0,1,1,2,0,1,1,1,0,1,0,0%,0,0%,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,"World Cup",World,https://media.api-sports.io/football/leagues/1.png,NULL,2010,6,Brazil,https://media.api-sports.io/football/teams/6.png,WWDWL,3,2,5,3,0,3,0,1,1,0,1,1,8,1,9,2.7,0.5,1.8,1,11.11%,1,11.11%,2,22.22%,3,33.33%,2,22.22%,NULL,NULL,NULL,NULL,NULL,NULL,2,2,4,0.7,1.0,0.8,NULL,NULL,NULL,NULL,NULL,NULL,1,25.00%,1,25.00%,2,50.00%,NULL,NULL,NULL,NULL,2,1,0,3-0,NULL,NULL,2-1,3,1,1,2,1,1,2,0,1,1,0,0%,0,0%,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,"World Cup",World,https://media.api-sports.io/football/leagues/1.png,NULL,2010,7,Uruguay,https://media.api-sports.io/football/teams/7.png,DWWWDLL,5,2,7,1,2,3,2,0,2,2,0,2,7,4,11,1.4,2.0,1.6,1,6.67%,2,13.33%,2,13.33%,2,13.33%,NULL,NULL,3,20.00%,1,6.67%,4,26.67%,8,0,8,1.6,0.0,1.1,NULL,NULL,2,20.00%,1,10.00%,1,10.00%,3,30.00%,1,10.00%,NULL,NULL,2,20.00%,3,1,0,2-1,0-3,2-3,NULL,2,3,3,0,1,2,3,1,0,1,5,83.33%,1,16.67%,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
