,home_team.Rank,home_team. age,home_team.Total value,home_team.Points,home_Pl,home_Age,home_MP,home_Starts,home_Min,home_90s,home_Gls,home_Ast,home_G-PK,home_PK,home_PKatt,home_CrdY,home_CrdR,home_Gls.1,home_Ast.1,home_G+A,home_G-PK.1,home_G+A-PK
Iran,21,28.1,74380000.0,1573,15.5,27.6,3.0,33.0,270.0,3.0,1.0,0.5,0.5,0.5,0.5,5.5,0.0,0.33,0.165,0.5,0.165,0.335
Iran,21,28.1,74380000.0,1573,15.5,27.6,3.0,33.0,270.0,3.0,1.0,0.5,0.5,0.5,0.5,5.5,0.0,0.33,0.165,0.5,0.165,0.335
Qatar,52,26.7,14430000.0,1438,21.666666666666668,26.633333333333336,5.333333333333333,58.66666666666666,480.0,5.333333333333333,4.666666666666667,3.333333333333333,3.6666666666666665,1.0,1.0,10.333333333333334,1.0,0.94,0.6033333333333334,1.54,0.6333333333333333,1.2300000000000002
Bahrain,89,27.9,7830000.0,1264,29.666666666666668,27.899999999999995,5.333333333333333,58.66666666666666,480.0,5.333333333333333,11.666666666666666,5.333333333333333,9.0,2.6666666666666665,3.333333333333333,5.666666666666667,0.0,2.09,0.8333333333333334,2.9266666666666663,1.6766666666666667,2.51
Indonesia,160,23.3,5280000.0,1002,25.5,23.1,2.5,27.5,225.0,2.5,5.0,1.5,4.0,1.0,1.0,3.0,0.0,2.085,0.5,2.585,1.665,2.165
Indonesia,160,23.3,5280000.0,1002,25.5,23.1,2.5,27.5,225.0,2.5,5.0,1.5,4.0,1.0,1.0,3.0,0.0,2.085,0.5,2.585,1.665,2.165
Kuwait,143,26.7,5700000.0,1066,33.0,26.4,5.5,60.5,495.0,5.5,3.0,2.0,3.0,0.0,0.0,9.0,0.5,0.59,0.3399999999999999,0.93,0.59,0.93
Singapore,161,28.2,2750000.0,1001,18.5,29.0,1.5,16.5,135.0,1.5,2.5,2.5,2.5,0.0,0.0,3.0,0.5,1.5,1.5,3.0,1.5,3.0
Singapore,161,28.2,2750000.0,1001,18.5,29.0,1.5,16.5,135.0,1.5,2.5,2.5,2.5,0.0,0.0,3.0,0.5,1.5,1.5,3.0,1.5,3.0
United Arab Emirates,69,28.3,18000000.0,1353,24.5,28.75,3.0,33.0,270.0,3.0,8.0,4.0,6.0,2.0,2.0,3.0,0.0,2.67,1.335,4.0,2.0,3.335
